 	EDGE_TIME (sec)	Y Location (mean)(micron)	X Location (mean)(micron)	Z Location (mean)(micron)
1	1.143	3.904	3.598	6.701
2	3.429	3.893	3.610	6.726
3	5.715	3.886	3.624	6.746
4	8.001	3.880	3.656	6.762
5	10.287	3.879	3.684	6.799
6	12.573	3.881	3.680	6.902
7	14.859	3.860	3.679	6.989
8	17.145	3.845	3.702	7.010
9	19.431	3.820	3.723	7.025
10	21.717	3.787	3.727	7.030
11	24.003	3.775	3.722	7.045
12	26.289	3.760	3.730	7.073
13	28.575	3.751	3.755	7.073
14	30.861	3.739	3.761	7.038
15	33.147	3.696	3.740	7.017
16	35.433	3.655	3.743	7.006
17	37.719	3.638	3.771	6.764
18	40.005	3.628	3.796	6.544
19	42.291	3.611	3.810	6.542
20	44.577	3.603	3.819	6.589
21	46.863	3.624	3.825	6.693
22	49.149	3.629	3.814	6.734
23	51.435	3.621	3.813	6.726
24	53.721	3.615	3.821	6.750
25	56.007	3.616	3.822	6.779
26	58.293	3.621	3.810	6.763
27	60.579	3.608	3.809	6.762
28	62.865	3.600	3.834	6.776
29	65.151	3.608	3.846	6.774
30	67.437	3.606	3.855	6.755
31	69.723	3.603	3.863	6.756
32	72.009	3.606	3.863	6.767
33	74.295	3.613	3.876	6.776
34	76.581	3.620	3.898	6.799
35	78.867	3.622	3.911	6.809
36	81.153	3.627	3.922	6.897
37	83.439	3.634	3.927	6.989
38	85.725	3.634	3.917	6.992
39	88.011	3.632	3.922	6.997
40	90.297	3.635	3.927	7.002
41	92.583	3.635	3.921	7.007
42	94.869	3.631	3.915	7.024
43	97.155	3.626	3.906	7.034
44	99.441	3.620	3.916	7.028
45	101.727	3.617	3.930	7.036
46	104.013	3.614	3.933	7.039
47	106.299	3.609	3.918	7.023
48	108.585	3.559	3.887	7.025
49	110.871	3.516	3.880	7.036
50	113.157	3.514	3.892	7.030
51	115.443	3.506	3.897	7.026
52	117.729	3.503	3.878	7.029
53	120.015	3.496	3.856	7.037
54	122.301	3.489	3.867	7.028
55	124.587	3.489	3.877	7.028
56	126.873	3.485	3.862	7.050
57	129.159	3.480	3.847	7.128
58	131.445	3.485	3.864	7.118
59	133.731	3.497	3.866	7.038
60	136.017	3.501	3.850	7.043
61	138.303	3.500	3.864	7.033
62	140.589	3.500	3.874	7.024
63	142.875	3.501	3.881	7.039
64	145.161	3.499	3.895	7.057
65	147.447	3.501	3.899	7.132
66	149.733	3.513	3.882	7.195
67	152.019	3.516	3.864	7.207
68	154.305	3.554	3.866	7.231
69	156.591	3.560	3.851	7.239
70	158.877	3.522	3.828	7.216
71	161.163	3.504	3.816	7.229
72	163.449	3.489	3.788	7.253
73	165.735	3.488	3.776	7.239
74	168.021	3.484	3.805	7.222
75	170.307	3.481	3.806	7.244
76	172.593	3.485	3.780	7.376
77	174.879	3.484	3.757	7.496
78	177.165	3.490	3.702	7.633
79	179.451	3.498	3.719	7.514
80	181.737	3.498	3.724	7.507
81	184.023	3.495	3.718	7.526
82	186.309	3.492	3.753	7.412
83	188.595	3.494	3.746	7.511
84	190.881	3.491	3.738	7.410
85	193.167	3.498	3.731	7.512
86	195.453	3.501	3.740	7.509
87	197.739	3.506	3.753	7.541
88	200.025	3.515	3.764	7.626
89	202.311	3.501	3.780	7.363
90	204.597	3.498	3.798	7.273
91	206.883	3.502	3.817	7.309
92	209.169	3.511	3.823	7.305
93	211.455	3.516	3.830	7.288
94	213.741	3.520	3.847	7.293
95	216.027	3.514	3.875	7.296
96	218.313	3.502	3.896	7.305
97	220.599	3.503	3.898	7.299
98	222.885	3.502	3.905	7.304
99	225.171	3.503	3.918	7.383
