 	FRAME ()	Y(micron)	X(micron)	Z(micron)
1	0	7.865	8.716	10.808
2	10	7.855	8.678	11.244
3	20	7.776	8.613	11.581
4	30	7.752	8.562	11.995
5	40	7.715	8.463	12.279
6	50	7.667	8.438	12.624
7	60	7.735	8.438	12.905
8	70	7.649	8.371	13.076
9	80	7.619	8.309	13.489
10	90	7.533	8.246	13.742
11	100	7.506	8.187	14.035
12	110	7.497	8.154	14.303
13	120	7.465	8.092	14.694
14	130	7.500	8.106	14.980
15	140	7.464	8.070	15.179
16	150	7.386	8.042	15.484
17	160	7.363	7.987	15.731
18	170	7.359	7.934	16.005
19	180	7.263	7.876	16.275
20	190	7.277	7.885	16.567
21	200	7.356	7.877	16.739
22	210	7.274	7.837	17.006
23	220	7.239	7.767	17.269
24	230	7.221	7.747	17.498
25	240	7.152	7.707	17.751
26	250	7.126	7.668	17.995
27	260	7.206	7.703	18.274
28	270	7.176	7.701	18.520
29	280	7.108	7.698	18.792
