 	FRAME ()	Y(micron)	X(micron)	Z(micron)
1	0	6.530	8.986	9.765
2	10	6.509	9.050	9.966
3	20	6.497	9.053	10.210
4	30	6.387	9.063	10.306
5	40	6.376	9.057	10.543
6	50	6.373	9.053	10.786
7	60	6.363	9.049	11.025
8	70	6.390	9.058	11.295
9	80	6.399	8.664	11.532
10	90	6.349	8.214	11.827
11	100	6.257	7.716	12.014
12	110	6.193	7.184	12.298
13	120	6.125	6.752	12.230
14	130	6.092	6.207	12.600
15	140	6.106	6.184	12.752
16	150	6.245	6.334	12.948
17	160	6.235	6.313	13.042
18	170	6.216	6.314	13.274
19	180	6.173	6.321	13.478
20	190	6.146	6.325	13.669
21	200	6.082	6.336	13.770
22	210	6.011	6.334	14.010
23	220	6.140	6.468	14.241
24	230	6.119	6.459	14.367
25	240	6.114	6.436	14.722
26	250	6.081	6.441	14.834
27	260	6.004	6.436	15.037
28	270	5.972	6.478	15.102
29	280	5.907	6.460	15.343
30	290	6.482	6.933	15.508
31	300	5.987	6.681	15.554
32	310	5.997	6.664	15.951
33	320	5.990	6.681	16.040
34	330	5.889	6.680	16.253
35	340	5.881	6.680	16.501
36	350	5.873	6.703	16.603
37	360	5.859	6.721	16.758
38	370	5.784	6.742	16.836
39	380	5.770	6.747	16.997
40	390	6.218	7.108	17.217
41	400	5.904	6.979	17.248
42	410	5.890	6.987	17.338
43	420	5.883	6.973	17.588
44	430	5.849	6.971	17.747
45	440	5.760	6.976	17.834
46	450	5.727	6.983	17.986
47	460	5.641	7.008	18.045
48	470	5.623	7.014	18.215
49	480	5.632	7.108	18.296
50	490	5.727	7.145	18.470
51	500	5.742	7.177	18.526
52	510	5.752	7.198	18.700
53	520	5.709	7.199	18.777
54	530	5.667	7.191	18.905
55	540	5.638	7.195	18.987
