 	POSITION_T (sec)	Y(micron)	X(micron)	Z(micron)
1	0	7.109	3.360	9.547
2	10	7.036	3.349	9.602
3	20	6.995	3.337	9.744
4	30	6.910	3.315	9.820
5	40	6.895	3.316	9.980
6	50	6.877	3.324	10.045
7	60	7.365	3.707	10.124
8	70	6.995	3.473	10.229
9	80	7.009	3.514	10.255
10	90	7.006	3.502	10.461
11	100	6.904	3.505	10.521
12	110	6.883	3.516	10.532
13	120	6.855	3.494	10.694
14	130	6.856	3.538	10.731
15	140	6.769	3.550	10.762
16	150	7.011	3.765	10.747
17	160	6.865	3.699	10.856
18	170	6.864	3.720	10.963
19	180	6.779	3.740	11.045
20	190	6.735	3.749	11.035
21	200	6.657	3.747	11.075
22	210	6.645	3.751	11.275
23	220	6.629	3.781	11.291
24	230	6.800	3.955	11.457
25	240	6.612	3.885	11.463
26	250	6.612	3.919	11.472
27	260	6.588	3.952	11.525
28	270	6.519	3.946	11.601
29	280	6.480	3.965	11.689
30	290	6.411	3.978	11.757
31	300	6.723	4.209	11.826
32	310	6.411	4.098	11.838
33	320	6.410	4.119	11.835
34	330	6.400	4.122	11.994
35	340	6.374	4.142	12.006
36	350	6.367	4.152	12.208
37	360	6.360	4.186	12.055
38	370	6.448	4.315	12.243
39	380	6.358	4.283	12.239
40	390	6.266	4.301	12.269
41	400	6.288	4.317	12.363
42	410	6.280	4.324	12.484
43	420	6.233	4.335	12.498
44	430	6.237	4.391	12.543
45	440	6.290	4.450	12.550
46	450	6.234	4.454	12.575
47	460	6.232	4.488	12.561
48	470	6.222	4.499	12.715
49	480	6.153	4.515	12.760
50	490	6.144	4.516	12.792
51	500	6.129	4.545	12.804
52	510	6.140	4.572	12.925
53	520	6.145	4.622	12.953
54	530	6.127	4.630	13.014
55	540	6.117	4.648	13.033
56	550	6.114	4.668	13.038
57	560	6.111	4.670	13.209
58	570	6.055	4.696	13.216
59	580	6.022	4.718	13.242
60	590	6.110	4.774	13.281
61	600	6.015	4.794	13.277
62	610	6.016	4.784	13.459
63	620	5.997	4.816	13.323
64	630	5.995	4.832	13.351
65	640	5.978	4.834	13.462
66	650	5.999	4.927	13.296
67	660	5.987	4.955	13.320
68	670	5.920	4.968	13.317
69	680	5.901	4.981	13.451
70	690	5.892	4.990	13.469
71	700	5.884	5.006	13.493
72	710	5.873	5.012	13.527
73	720	5.872	5.059	13.527
74	730	5.871	5.106	13.567
75	740	5.784	5.119	13.576
76	750	5.770	5.110	13.597
77	760	5.757	5.127	13.706
78	770	5.744	5.131	13.735
79	780	5.733	5.167	13.741
80	790	5.638	5.204	13.725
81	800	5.621	5.280	13.717
82	810	5.629	5.307	13.736
83	820	5.594	5.334	13.742
84	830	5.536	5.356	13.764
85	840	5.527	5.370	13.777
86	850	5.512	5.388	13.795
87	860	5.505	5.401	13.793
88	870	5.517	5.453	13.847
89	880	5.505	5.492	13.819
90	890	5.491	5.474	13.975
91	900	5.474	5.493	13.973
92	910	5.476	5.507	14.008
93	920	5.398	5.521	13.992
94	930	5.481	5.563	14.040
95	940	5.473	5.610	14.019
96	950	5.394	5.630	14.030
97	960	5.373	5.636	14.025
98	970	5.373	5.653	14.054
99	980	5.365	5.659	14.064
100	990	5.266	5.673	14.055
101	1000	5.360	5.725	14.097
102	1010	5.373	5.750	14.219
103	1020	5.275	5.760	14.207
104	1030	5.270	5.778	14.209
105	1040	5.265	5.777	14.245
106	1050	5.258	5.787	14.269
107	1060	5.333	5.830	14.327
108	1070	5.347	5.748	14.340
109	1080	5.276	5.367	14.292
110	1090	5.222	4.973	14.307
111	1100	5.139	4.504	14.237
112	1120	5.029	3.626	14.300
113	1130	5.021	3.203	14.441
114	1140	5.507	3.612	14.561
115	1150	5.296	3.441	14.486
116	1160	5.268	3.414	14.513
117	1170	5.237	3.372	14.526
118	1180	5.126	3.342	14.559
119	1190	5.119	3.350	14.501
120	1200	5.111	3.384	14.550
121	1210	5.024	3.384	14.529
122	1220	5.009	3.405	14.547
123	1230	4.997	3.493	14.562
124	1240	5.232	3.622	14.534
125	1250	5.240	3.666	14.544
126	1260	5.143	3.605	14.727
127	1270	5.041	3.589	14.722
128	1280	4.995	3.600	14.746
129	1290	4.962	3.580	14.792
130	1300	4.973	3.628	14.716
131	1310	4.889	3.641	14.783
132	1320	4.877	3.716	14.779
133	1330	5.012	3.801	14.780
134	1340	5.091	3.841	14.793
135	1350	4.993	3.849	14.805
136	1360	4.912	3.839	14.787
137	1370	4.874	3.801	14.992
138	1380	4.853	3.820	14.964
139	1390	4.862	3.811	14.979
140	1400	4.779	3.857	14.850
141	1410	4.758	3.863	14.996
142	1420	4.981	4.018	15.030
143	1430	4.886	3.990	15.011
144	1440	4.861	3.994	15.017
145	1450	4.783	3.993	15.050
146	1460	4.766	3.997	15.048
147	1470	4.758	4.014	15.066
148	1480	4.751	4.021	15.044
149	1490	4.747	4.017	15.061
150	1500	4.739	4.116	15.086
151	1510	4.769	4.166	15.047
152	1520	4.760	4.185	15.109
153	1530	4.752	4.182	15.053
154	1540	4.749	4.167	15.231
155	1550	4.745	4.174	15.246
156	1560	4.723	4.198	15.220
157	1570	4.706	4.186	15.297
158	1580	4.707	4.200	15.285
159	1590	4.765	4.411	15.061
160	1600	4.720	4.320	15.233
161	1610	4.728	4.323	15.207
162	1620	4.720	4.341	15.283
163	1630	4.718	4.338	15.313
164	1640	4.665	4.350	15.300
165	1650	4.716	4.350	15.333
166	1660	4.652	4.353	15.319
167	1670	4.755	4.527	15.296
168	1680	4.651	4.473	15.249
169	1690	4.719	4.484	15.291
170	1700	4.654	4.472	15.330
171	1710	4.652	4.485	15.307
172	1720	4.618	4.513	15.290
173	1730	4.626	4.509	15.288
174	1740	4.621	4.521	15.277
175	1750	4.606	4.537	15.284
176	1760	4.618	4.637	15.271
177	1770	4.606	4.639	15.257
178	1780	4.619	4.645	15.296
179	1790	4.616	4.652	15.291
180	1800	4.613	4.665	15.289
181	1810	4.556	4.689	15.349
182	1820	4.511	4.681	15.278
183	1830	4.499	4.796	15.023
184	1840	4.496	4.792	15.232
185	1850	4.502	4.811	15.235
186	1860	4.495	4.804	15.229
187	1870	4.420	4.825	15.246
188	1880	4.416	4.847	15.224
189	1890	4.400	4.882	15.091
190	1900	4.433	4.944	15.232
191	1910	4.394	4.961	15.227
192	1920	4.380	5.001	15.221
193	1930	4.354	5.012	15.203
194	1940	4.263	5.053	15.055
195	1950	4.266	5.031	15.208
196	1960	4.270	5.051	15.222
197	1970	4.346	5.122	15.237
198	1980	4.347	5.125	15.254
199	1990	4.356	5.139	15.253
200	2000	4.359	5.150	15.248
201	2010	4.356	5.155	15.239
202	2020	4.357	5.162	15.264
203	2030	4.264	5.187	15.229
204	2040	4.268	5.211	15.212
205	2050	4.266	5.246	15.230
206	2060	4.256	5.251	15.229
207	2070	4.251	5.269	15.224
208	2080	4.254	5.279	15.231
209	2090	4.258	5.295	15.239
210	2100	4.272	5.344	15.205
211	2110	4.254	5.356	15.092
212	2120	4.263	5.357	15.205
213	2130	4.251	5.376	15.202
214	2140	4.259	5.373	15.207
215	2150	4.255	5.393	15.206
216	2160	4.263	5.425	15.214
217	2170	4.252	5.473	15.042
218	2180	4.218	5.471	15.067
219	2190	4.232	5.482	15.080
220	2200	4.238	5.507	15.074
221	2210	4.238	5.524	15.069
222	2220	4.244	5.519	15.226
223	2230	4.259	5.580	15.121
224	2240	4.231	5.581	15.094
225	2250	4.228	5.596	15.073
226	2260	4.162	5.610	15.044
227	2270	4.156	5.621	15.052
228	2280	4.145	5.643	15.071
229	2290	4.183	5.688	15.135
230	2300	4.167	5.722	15.041
231	2310	4.142	5.734	15.049
232	2320	4.124	5.760	15.043
233	2330	4.125	5.758	15.044
234	2340	4.123	5.755	15.037
235	2350	4.120	5.786	15.034
236	2360	4.104	5.836	14.982
237	2370	4.020	5.883	14.962
238	2380	4.001	5.905	14.803
239	2390	3.989	5.894	14.949
240	2400	4.003	5.912	14.970
241	2410	4.000	5.942	14.933
242	2420	4.001	5.926	14.968
243	2430	4.017	5.965	14.970
244	2440	4.012	6.012	14.991
245	2450	4.005	6.027	14.973
246	2460	3.994	6.034	14.982
247	2470	3.997	6.044	14.991
248	2480	3.995	6.041	15.007
249	2490	3.985	6.043	15.003
250	2500	3.996	6.104	15.015
251	2510	3.982	6.138	14.986
252	2520	3.986	6.147	14.980
253	2530	3.903	6.139	14.969
254	2540	3.895	6.171	14.821
255	2550	3.895	6.156	14.987
256	2560	3.897	6.179	14.980
257	2570	3.991	6.237	14.960
258	2580	4.000	6.263	15.002
259	2590	3.975	6.122	15.004
260	2600	3.879	5.793	15.030
261	2610	3.849	5.406	15.056
262	2620	3.759	5.062	14.933
263	2630	3.763	4.605	15.268
264	2640	3.768	4.212	15.001
265	2650	3.755	3.907	15.016
266	2660	3.761	3.882	15.015
267	2670	3.755	3.855	15.019
268	2680	3.755	3.861	15.013
269	2690	3.760	3.871	15.017
270	2700	3.798	3.953	14.974
271	2710	3.862	3.975	15.026
272	2720	3.864	3.991	14.979
273	2730	3.866	4.005	15.020
274	2740	3.858	4.014	15.033
275	2750	3.858	4.031	14.995
