 	POSITION_T (sec)	Y(micron)	X(micron)	Z(micron)
1	0	3.273	2.767	13.731
2	10	3.261	2.801	13.731
3	20	3.289	2.814	13.644
4	30	3.245	2.857	13.595
5	40	3.252	2.892	13.724
6	50	3.248	2.905	13.564
7	60	3.234	2.921	13.708
8	70	3.233	2.934	13.732
9	80	3.162	2.951	13.623
10	90	3.142	2.978	13.562
11	100	3.143	2.978	13.555
12	110	3.144	3.027	13.548
13	120	3.129	3.058	13.496
14	130	3.110	3.063	13.562
15	140	3.126	3.065	13.573
16	150	3.090	3.065	13.565
17	160	3.107	3.121	13.510
18	170	3.120	3.145	13.493
19	180	3.113	3.163	13.500
20	190	3.112	3.179	13.504
21	200	3.111	3.169	13.513
22	210	3.016	3.184	13.499
23	220	3.019	3.188	13.531
24	230	3.108	3.225	13.500
25	240	3.116	3.235	13.497
26	250	3.110	3.259	13.494
27	260	3.105	3.252	13.524
28	270	3.104	3.288	13.515
29	280	3.024	3.281	13.514
30	290	3.122	3.312	13.556
31	300	3.129	3.345	13.476
32	310	3.126	3.364	13.543
33	320	3.038	3.358	13.526
34	330	3.121	3.360	13.564
35	340	3.107	3.373	13.501
36	350	3.140	3.418	13.525
37	360	3.156	3.334	13.528
38	370	3.125	3.086	13.479
39	380	3.104	2.771	13.291
40	390	3.084	2.360	13.438
41	400	3.104	1.980	13.574
42	410	3.015	1.550	13.489
43	420	3.037	1.449	13.540
44	430	3.034	1.492	13.501
45	440	3.109	1.482	13.490
46	450	3.122	1.484	13.490
47	460	3.137	1.489	13.515
48	470	3.120	1.516	13.475
49	480	3.112	1.512	13.488
50	490	3.110	1.576	13.341
51	500	3.135	1.660	13.280
52	510	3.228	1.652	13.454
53	520	3.236	1.662	13.455
54	530	3.238	1.678	13.473
55	540	3.145	1.685	13.468
56	550	3.148	1.721	13.366
57	560	3.142	1.708	13.460
58	570	3.128	1.717	13.448
59	580	3.100	1.712	13.430
60	590	3.136	1.795	13.491
61	600	3.139	1.810	13.483
62	610	3.148	1.820	13.484
63	620	3.133	1.811	13.497
64	630	3.132	1.855	13.350
65	640	3.124	1.842	13.493
66	650	3.128	1.929	13.497
67	660	3.154	1.945	13.490
68	670	3.152	1.983	13.346
69	680	3.167	1.970	13.494
70	690	3.152	1.974	13.524
71	700	3.122	2.010	13.326
72	710	3.127	2.003	13.475
73	720	3.122	1.991	13.506
74	730	3.118	2.091	13.488
75	740	3.132	2.107	13.500
76	750	3.139	2.113	13.511
77	760	3.127	2.141	13.509
78	770	3.134	2.131	13.533
79	780	3.127	2.126	13.546
80	790	3.124	2.139	13.540
81	800	3.101	2.131	13.523
82	810	3.115	2.158	13.551
83	820	3.109	2.247	13.504
84	830	3.116	2.255	13.526
85	840	3.125	2.246	13.533
86	850	3.131	2.259	13.544
87	860	3.133	2.264	13.566
88	870	3.136	2.250	13.701
89	880	3.137	2.263	13.791
90	890	3.136	2.253	13.727
91	900	3.156	2.337	13.602
92	910	3.128	2.333	13.573
93	920	3.161	2.334	13.691
94	930	3.145	2.373	13.581
95	940	3.156	2.359	13.699
96	950	3.143	2.378	13.574
97	960	3.243	2.427	13.724
98	970	3.228	2.429	13.720
99	980	3.203	2.448	13.666
100	990	3.169	2.464	13.552
101	1000	3.165	2.451	13.574
102	1010	3.208	2.457	13.539
103	1020	3.147	2.475	13.557
104	1030	3.241	2.563	13.545
105	1040	3.167	2.585	13.464
106	1050	3.178	2.574	13.536
107	1060	3.163	2.605	13.492
108	1070	3.160	2.597	13.493
109	1080	3.159	2.600	13.539
110	1090	3.144	2.629	13.513
111	1100	3.180	2.698	13.430
112	1110	3.118	2.714	13.349
113	1120	3.115	2.747	13.338
114	1130	3.112	2.755	13.326
115	1140	3.103	2.741	13.325
116	1150	3.114	2.766	13.481
117	1160	3.115	2.751	13.488
118	1170	3.127	2.812	13.487
119	1180	3.124	2.847	13.439
120	1190	3.114	2.857	13.492
121	1200	3.109	2.871	13.335
122	1210	3.032	2.879	13.461
123	1220	3.021	2.903	13.316
124	1230	3.024	2.897	13.468
125	1240	3.039	2.971	13.314
126	1250	3.027	2.986	13.333
127	1260	3.004	2.991	13.322
128	1270	3.009	3.003	13.306
129	1280	3.015	3.021	13.298
130	1290	2.998	3.013	13.312
131	1300	2.981	3.022	13.459
132	1310	2.996	3.086	13.333
133	1320	3.011	3.080	13.458
134	1330	3.007	3.089	13.350
135	1340	3.006	3.109	13.320
136	1350	3.014	3.100	13.468
137	1360	3.010	3.120	13.321
138	1370	3.109	3.162	13.463
139	1380	3.110	3.172	13.480
140	1390	3.009	3.177	13.291
141	1400	3.042	3.199	13.366
142	1410	3.029	3.195	13.344
143	1420	3.107	3.243	13.326
144	1430	3.109	3.250	13.326
145	1440	3.107	3.271	13.282
146	1450	3.017	3.278	13.297
147	1460	3.108	3.271	13.300
148	1470	3.104	3.281	13.296
149	1480	3.106	3.334	13.277
150	1490	3.118	3.357	13.306
151	1500	3.117	3.348	13.270
152	1510	3.105	3.370	13.254
153	1520	3.115	3.376	13.287
154	1530	3.031	3.383	13.269
155	1540	3.114	3.422	13.262
156	1550	3.114	3.472	13.304
157	1560	3.120	3.391	13.499
158	1570	3.098	3.261	13.268
159	1590	3.032	2.597	13.506
160	1600	3.100	2.286	13.224
161	1610	3.012	1.842	13.258
162	1620	3.009	1.658	13.249
163	1630	3.005	1.636	13.281
164	1640	2.995	1.626	13.278
165	1650	2.984	1.690	12.809
166	1650	2.997	1.618	13.753
167	1660	2.979	1.694	13.430
168	1670	3.010	1.756	13.498
169	1680	3.026	1.764	13.516
170	1690	3.020	1.797	13.492
171	1700	3.102	1.780	13.519
172	1710	3.016	1.796	13.502
173	1720	3.009	1.812	13.508
174	1730	2.975	1.832	13.487
175	1740	2.952	1.827	13.480
176	1750	2.890	1.880	13.499
177	1760	2.910	1.961	13.346
178	1770	2.954	1.944	13.526
179	1780	2.988	1.952	13.506
180	1790	2.965	1.973	13.529
181	1800	2.977	1.986	13.539
182	1810	2.982	1.992	13.580
183	1820	2.988	1.994	13.596
184	1830	2.904	1.992	13.710
185	1840	2.958	2.068	13.729
186	1850	2.984	2.084	13.611
187	1860	3.011	2.094	13.571
188	1870	3.035	2.090	13.736
189	1880	3.024	2.098	13.743
190	1890	3.013	2.138	13.574
191	1900	3.001	2.133	13.571
192	1910	3.010	2.112	13.761
193	1920	3.011	2.121	13.761
194	1930	3.039	2.204	13.736
195	1940	3.079	2.213	13.712
196	1950	3.086	2.218	13.740
197	1960	3.087	2.218	13.757
198	1970	3.023	2.241	13.714
199	1980	3.029	2.252	13.759
200	1990	3.099	2.245	13.761
201	2000	3.104	2.247	13.754
202	2010	3.112	2.313	13.768
203	2020	3.109	2.313	13.755
204	2030	3.112	2.381	13.718
205	2040	3.114	2.366	13.695
206	2050	3.103	2.398	13.558
207	2060	3.022	2.421	13.501
208	2070	3.107	2.403	13.718
209	2080	3.021	2.423	13.551
210	2090	3.102	2.481	13.571
211	2100	3.027	2.495	13.555
212	2110	3.012	2.498	13.716
213	2120	3.019	2.515	13.557
214	2130	3.019	2.530	13.552
215	2140	3.011	2.539	13.721
216	2150	3.087	2.584	13.673
217	2160	3.032	2.590	13.567
218	2170	3.020	2.620	13.547
219	2180	3.003	2.632	13.547
220	2190	3.008	2.645	13.544
221	2200	3.019	2.641	13.564
222	2210	3.014	2.695	13.589
223	2220	3.015	2.731	13.548
224	2230	2.989	2.757	13.536
225	2240	2.979	2.763	13.527
226	2250	2.892	2.790	13.499
227	2260	2.895	2.809	13.531
228	2270	2.889	2.789	13.507
229	2280	2.900	2.892	13.470
230	2290	2.891	2.889	13.505
231	2300	2.883	2.890	13.518
232	2310	2.878	2.889	13.498
233	2320	2.871	2.915	13.486
234	2330	2.872	2.936	13.522
235	2340	2.876	2.927	13.518
236	2350	2.874	2.980	13.511
237	2360	2.884	3.012	13.491
238	2370	2.879	3.013	13.521
239	2380	2.887	3.009	13.516
240	2390	2.891	3.035	13.525
241	2400	2.889	3.030	13.542
242	2410	2.894	3.043	13.511
243	2420	2.955	3.066	13.621
244	2430	2.987	3.112	13.567
245	2440	2.968	3.112	13.516
246	2450	2.975	3.096	13.605
247	2460	2.989	3.125	13.513
248	2470	2.984	3.131	13.521
249	2480	2.981	3.121	13.536
250	2490	2.969	3.202	13.484
251	2500	2.953	3.194	13.459
252	2510	2.953	3.199	13.521
253	2520	2.965	3.209	13.508
254	2530	2.965	3.198	13.680
255	2540	2.978	3.223	13.518
256	2550	3.007	3.302	13.310
257	2560	3.003	3.312	13.453
258	2570	2.992	3.293	13.455
259	2580	2.997	3.329	13.344
260	2590	3.026	3.347	13.434
261	2600	2.991	3.354	13.442
262	2610	3.003	3.383	13.440
263	2620	3.015	3.391	13.457
264	2630	2.997	3.429	13.268
265	2640	2.994	3.417	13.480
266	2650	2.989	3.434	13.308
267	2660	2.988	3.434	13.306
268	2670	2.984	3.469	13.326
269	2680	3.009	3.504	13.307
270	2690	3.005	3.546	13.464
271	2700	2.921	3.572	13.294
272	2710	2.903	3.592	13.329
273	2720	2.890	3.405	13.308
274	2730	2.912	3.197	13.512
275	2740	2.890	3.064	13.267
276	2750	2.864	2.742	13.339
277	2760	2.868	2.370	13.475
278	2770	2.769	2.041	13.248
279	2780	2.754	1.902	13.454
280	2790	2.745	1.895	13.466
281	2800	2.740	1.915	13.303
282	2810	2.750	2.028	13.287
283	2820	2.769	2.017	13.325
284	2830	2.758	2.046	13.277
285	2840	2.774	2.043	13.481
286	2850	2.766	2.033	13.507
287	2860	2.766	2.032	13.506
288	2870	2.757	2.046	13.489
289	2880	2.743	2.058	13.474
290	2890	2.755	2.180	13.298
291	2900	2.859	2.160	13.484
292	2910	2.875	2.153	13.526
293	2920	2.874	2.163	13.538
294	2930	2.873	2.177	13.498
295	2940	2.882	2.177	13.507
296	2950	2.893	2.187	13.555
297	2960	2.886	2.196	13.618
298	2970	2.891	2.278	13.544
299	2980	2.895	2.296	13.535
300	2990	2.983	2.281	13.527
301	3000	2.986	2.291	13.726
302	3010	2.992	2.296	13.708
303	3020	2.987	2.314	13.554
304	3030	2.892	2.303	13.523
305	3040	2.913	2.348	13.708
306	3050	3.001	2.387	13.554
307	3060	2.999	2.404	13.555
308	3070	3.003	2.375	13.709
309	3080	3.002	2.405	13.549
310	3090	3.008	2.423	13.535
311	3100	2.974	2.438	13.624
312	3110	3.003	2.450	13.583
313	3120	3.009	2.523	13.528
314	3130	3.001	2.529	13.515
315	3140	3.008	2.527	13.541
316	3150	3.008	2.540	13.537
317	3160	3.012	2.561	13.530
318	3170	3.014	2.564	13.502
319	3180	2.996	2.572	13.523
320	3190	3.011	2.638	13.483
321	3200	2.996	2.655	13.507
322	3210	2.991	2.664	13.480
323	3220	2.984	2.638	13.521
324	3230	2.981	2.676	13.501
325	3240	2.885	2.682	13.508
326	3250	2.903	2.743	13.491
327	3260	2.883	2.805	13.457
328	3270	2.885	2.799	13.307
329	3280	2.910	2.827	13.367
