 	EDGE_TIME (sec)	Y Location (mean)(micron)	X Location (mean)(micron)	Z Location (mean)(micron)
1	7.500	10.428	7.185	6.280
2	22.500	10.415	7.348	5.918
3	37.500	10.314	7.544	5.591
4	52.500	10.212	7.740	5.279
5	67.500	10.130	7.938	4.983
6	82.500	10.029	8.130	4.703
7	97.500	9.911	8.308	4.428
8	112.500	9.818	8.494	4.177
9	127.500	9.760	8.701	3.953
10	142.500	9.746	8.908	3.698
11	157.500	9.738	9.113	3.406
12	172.500	9.684	9.328	3.101
13	187.500	9.629	9.521	2.806
14	202.500	9.594	9.714	2.556
15	217.500	9.529	9.925	2.378
16	232.500	9.448	10.128	2.218
17	247.500	9.380	10.316	2.080
18	262.500	9.300	10.494	1.940
19	277.500	9.184	10.672	1.786
20	292.500	9.071	10.831	1.609
21	307.500	9.009	10.828	0.862
22	322.500	8.937	10.879	0.115
23	337.500	8.875	11.125	0.000
24	352.500	8.812	11.375	0.000
25	367.500	8.688	11.562	0.000
